country,year,sex,age,cases,total_annual_cases
AD,2004,f,65+,0,3
AD,2004,m,0-14,0,3
AD,2004,m,15-24,0,3
AD,2004,m,25-34,0,3
AD,2004,m,35-44,1,3
AD,2004,m,45-54,1,3
AD,2004,m,55-64,0,3
AD,2004,m,65+,0,3
AD,2005,f,0-14,0,5
AD,2005,f,0-4,0,5
AD,2005,f,15-24,1,5
AD,2005,f,25-34,1,5
AD,2005,f,35-44,1,5
AD,2005,f,45-54,0,5
AD,2005,f,5-14,0,5
AD,2005,f,55-64,0,5
AD,2005,f,65+,0,5
AD,2005,f,unknown,0,5
AD,2005,m,0-14,0,5
AD,2005,m,0-4,0,5
AD,2005,m,15-24,0,5
AD,2005,m,25-34,1,5
AD,2005,m,35-44,1,5
AD,2005,m,45-54,0,5
AD,2005,m,5-14,0,5
AD,2005,m,55-64,0,5
AD,2005,m,65+,0,5
AD,2005,m,unknown,0,5
AD,2006,f,0-14,0,8
AD,2006,f,0-4,0,8
AD,2006,f,15-24,0,8
AD,2006,f,25-34,1,8
AD,2006,f,35-44,0,8
AD,2006,f,45-54,1,8
AD,2006,f,5-14,0,8
AD,2006,f,55-64,0,8
AD,2006,f,65+,0,8
AD,2006,f,unknown,0,8
AD,2006,m,0-14,0,8
AD,2006,m,0-4,0,8
AD,2006,m,15-24,1,8
AD,2006,m,25-34,1,8
AD,2006,m,35-44,2,8
AD,2006,m,45-54,0,8
AD,2006,m,5-14,0,8
AD,2006,m,55-64,1,8
AD,2006,m,65+,1,8
AD,2006,m,unknown,0,8
AD,2007,f,25-34,1,2
AD,2007,f,45-54,1,2
AD,2008,f,0-14,0,3
AD,2008,f,0-4,0,3
AD,2008,f,15-24,0,3
AD,2008,f,25-34,0,3
AD,2008,f,35-44,1,3
AD,2008,f,45-54,1,3
AD,2008,f,5-14,0,3
AD,2008,f,55-64,0,3
AD,2008,f,65+,0,3
AD,2008,f,unknown,0,3
AD,2008,m,0-14,0,3
AD,2008,m,0-4,0,3
AD,2008,m,15-24,0,3
AD,2008,m,25-34,0,3
AD,2008,m,35-44,0,3
AD,2008,m,45-54,1,3
AD,2008,m,5-14,0,3
AD,2008,m,55-64,0,3
AD,2008,m,65+,0,3
AD,2008,m,unknown,0,3
AE,1999,f,0-14,9,31
AE,1999,f,15-24,11,31
AE,1999,f,25-34,5,31
AE,1999,f,35-44,3,31
AE,1999,f,45-54,0,31
AE,1999,f,55-64,3,31
AE,1999,f,65+,2,31
AE,1999,m,0-14,4,31
AE,1999,m,15-24,9,31
AE,1999,m,25-34,3,31
AE,1999,m,35-44,2,31
AE,1999,m,45-54,4,31
AE,1999,m,55-64,6,31
AE,1999,m,65+,5,31
AE,2000,f,0-14,3,73
AE,2000,f,15-24,16,73
AE,2000,f,25-34,1,73
AE,2000,f,35-44,3,73
AE,2000,f,45-54,0,73
AE,2000,f,55-64,0,73
AE,2000,f,65+,4,73
AE,2000,m,0-14,2,73
AE,2000,m,15-24,4,73
AE,2000,m,25-34,4,73
AE,2000,m,35-44,6,73
AE,2000,m,45-54,5,73
AE,2000,m,55-64,12,73
AE,2000,m,65+,10,73
AE,2002,f,0-14,3,57
AE,2002,f,15-24,3,57
AE,2002,f,25-34,8,57
AE,2002,f,35-44,3,57
AE,2002,f,45-54,4,57
AE,2002,f,55-64,10,57
AE,2002,f,65+,1,57
AE,2002,m,0-14,1,57
AE,2002,m,15-24,2,57
AE,2002,m,25-34,0,57
AE,2002,m,35-44,6,57
AE,2002,m,45-54,6,57
AE,2002,m,55-64,10,57
AE,2002,m,65+,0,57
AE,2003,f,0-14,4,77
AE,2003,f,15-24,9,77
AE,2003,f,25-34,5,77
AE,2003,f,35-44,3,77
AE,2003,f,45-54,3,77
AE,2003,f,55-64,2,77
AE,2003,f,65+,4,77
AE,2003,m,0-14,2,77
AE,2003,m,15-24,10,77
AE,2003,m,25-34,8,77
AE,2003,m,35-44,12,77
AE,2003,m,45-54,3,77
AE,2003,m,55-64,2,77
AE,2003,m,65+,10,77
AE,2004,f,0-14,3,57
AE,2004,f,15-24,6,57
AE,2004,f,25-34,2,57
AE,2004,f,35-44,7,57
AE,2004,f,45-54,2,57
AE,2004,f,55-64,2,57
AE,2004,f,65+,3,57
AE,2004,m,0-14,1,57
AE,2004,m,15-24,7,57
AE,2004,m,25-34,6,57
AE,2004,m,35-44,7,57
AE,2004,m,45-54,3,57
AE,2004,m,55-64,1,57
AE,2004,m,65+,7,57
AE,2006,f,0-14,2,52
AE,2006,f,0-4,0,52
AE,2006,f,15-24,6,52
AE,2006,f,25-34,4,52
AE,2006,f,35-44,5,52
AE,2006,f,45-54,3,52
AE,2006,f,5-14,2,52
AE,2006,f,55-64,4,52
AE,2006,f,65+,5,52
AE,2006,m,0-14,0,52
AE,2006,m,0-4,0,52
AE,2006,m,15-24,5,52
AE,2006,m,25-34,3,52
AE,2006,m,35-44,7,52
AE,2006,m,45-54,3,52
AE,2006,m,5-14,0,52
AE,2006,m,55-64,1,52
AE,2006,m,65+,4,52
AE,2007,f,0-14,1,56
AE,2007,f,0-4,0,56
AE,2007,f,15-24,8,56
AE,2007,f,25-34,6,56
AE,2007,f,35-44,3,56
AE,2007,f,45-54,2,56
AE,2007,f,5-14,1,56
AE,2007,f,55-64,0,56
AE,2007,f,65+,0,56
AE,2007,m,0-14,2,56
AE,2007,m,0-4,0,56
AE,2007,m,15-24,5,56
AE,2007,m,25-34,6,56
AE,2007,m,35-44,3,56
AE,2007,m,45-54,4,56
AE,2007,m,5-14,2,56
AE,2007,m,55-64,3,56
AE,2007,m,65+,10,56
AE,2008,f,0-14,0,50
AE,2008,f,0-4,0,50
AE,2008,f,15-24,10,50
AE,2008,f,25-34,4,50
AE,2008,f,35-44,1,50
AE,2008,f,45-54,1,50
AE,2008,f,5-14,0,50
AE,2008,f,55-64,3,50
AE,2008,f,65+,3,50
AE,2008,f,unknown,0,50
AE,2008,m,0-14,0,50
AE,2008,m,0-4,0,50
AE,2008,m,15-24,6,50
AE,2008,m,25-34,1,50
AE,2008,m,35-44,7,50
AE,2008,m,45-54,5,50
AE,2008,m,5-14,0,50
AE,2008,m,55-64,3,50
AE,2008,m,65+,6,50
AE,2008,m,unknown,0,50
AF,1997,f,0-14,5,618
AF,1997,f,15-24,38,618
AF,1997,f,25-34,36,618
AF,1997,f,35-44,14,618
AF,1997,f,45-54,8,618
AF,1997,f,55-64,0,618
AF,1997,f,65+,1,618
AF,1997,m,0-14,0,618
AF,1997,m,15-24,10,618
AF,1997,m,25-34,6,618
AF,1997,m,35-44,3,618
AF,1997,m,45-54,5,618
AF,1997,m,55-64,2,618
AF,1997,m,65+,0,618
AF,1998,f,0-14,45,1833
AF,1998,f,15-24,350,1833
AF,1998,f,25-34,419,1833
AF,1998,f,35-44,194,1833
AF,1998,f,45-54,118,1833
AF,1998,f,55-64,61,1833
AF,1998,f,65+,20,1833
AF,1998,m,0-14,30,1833
AF,1998,m,15-24,129,1833
AF,1998,m,25-34,128,1833
AF,1998,m,35-44,90,1833
AF,1998,m,45-54,89,1833
AF,1998,m,55-64,64,1833
AF,1998,m,65+,41,1833
AF,1999,f,0-14,25,1669
AF,1999,f,15-24,139,1669
AF,1999,f,25-34,160,1669
AF,1999,f,35-44,110,1669
AF,1999,f,45-54,50,1669
AF,1999,f,55-64,25,1669
AF,1999,f,65+,8,1669
AF,1999,m,0-14,8,1669
AF,1999,m,15-24,55,1669
AF,1999,m,25-34,55,1669
AF,1999,m,35-44,47,1669
AF,1999,m,45-54,34,1669
AF,1999,m,55-64,21,1669
AF,1999,m,65+,8,1669
AF,2000,f,0-14,93,2892
AF,2000,f,15-24,414,2892
AF,2000,f,25-34,565,2892
AF,2000,f,35-44,339,2892
AF,2000,f,45-54,205,2892
AF,2000,f,55-64,99,2892
AF,2000,f,65+,36,2892
AF,2000,m,0-14,52,2892
AF,2000,m,15-24,228,2892
AF,2000,m,25-34,183,2892
AF,2000,m,35-44,149,2892
AF,2000,m,45-54,129,2892
AF,2000,m,55-64,94,2892
AF,2000,m,65+,80,2892
AF,2001,f,0-14,146,4639
AF,2001,f,15-24,799,4639
AF,2001,f,25-34,888,4639
AF,2001,f,35-44,586,4639
AF,2001,f,45-54,375,4639
AF,2001,f,55-64,179,4639
AF,2001,f,65+,89,4639
AF,2001,m,0-14,129,4639
AF,2001,m,15-24,379,4639
AF,2001,m,25-34,349,4639
AF,2001,m,35-44,274,4639
AF,2001,m,45-54,204,4639
AF,2001,m,55-64,139,4639
AF,2001,m,65+,103,4639
AF,2002,f,0-14,192,6509
AF,2002,f,15-24,1119,6509
AF,2002,f,25-34,1251,6509
AF,2002,f,35-44,792,6509
AF,2002,f,45-54,526,6509
AF,2002,f,55-64,320,6509
AF,2002,f,65+,218,6509
AF,2002,m,0-14,90,6509
AF,2002,m,15-24,476,6509
AF,2002,m,25-34,481,6509
AF,2002,m,35-44,368,6509
AF,2002,m,45-54,246,6509
AF,2002,m,55-64,241,6509
AF,2002,m,65+,189,6509
AF,2003,f,0-14,245,6510
AF,2003,f,15-24,1152,6510
AF,2003,f,25-34,1287,6510
AF,2003,f,35-44,814,6510
AF,2003,f,45-54,462,6510
AF,2003,f,55-64,305,6510
AF,2003,f,65+,158,6510
AF,2003,m,0-14,127,6510
AF,2003,m,15-24,511,6510
AF,2003,m,25-34,436,6510
AF,2003,m,35-44,284,6510
AF,2003,m,45-54,256,6510
AF,2003,m,55-64,288,6510
AF,2003,m,65+,203,6510
AF,2004,f,0-14,256,8273
AF,2004,f,15-24,1360,8273
AF,2004,f,25-34,1561,8273
AF,2004,f,35-44,1096,8273
AF,2004,f,45-54,645,8273
AF,2004,f,55-64,413,8273
AF,2004,f,65+,256,8273
AF,2004,m,0-14,139,8273
AF,2004,m,15-24,537,8273
AF,2004,m,25-34,568,8273
AF,2004,m,35-44,360,8273
AF,2004,m,45-54,358,8273
AF,2004,m,55-64,386,8273
AF,2004,m,65+,310,8273
AF,2005,f,0-14,320,9949
AF,2005,f,15-24,1651,9949
AF,2005,f,25-34,1959,9949
AF,2005,f,35-44,1302,9949
AF,2005,f,45-54,869,9949
AF,2005,f,55-64,471,9949
AF,2005,f,65+,246,9949
AF,2005,m,0-14,151,9949
AF,2005,m,15-24,606,9949
AF,2005,m,25-34,560,9949
AF,2005,m,35-44,472,9949
AF,2005,m,45-54,453,9949
AF,2005,m,55-64,470,9949
AF,2005,m,65+,419,9949
AF,2006,f,0-14,442,12468
AF,2006,f,15-24,2139,12468
AF,2006,f,25-34,2340,12468
AF,2006,f,35-44,1654,12468
AF,2006,f,45-54,1006,12468
AF,2006,f,55-64,630,12468
AF,2006,f,65+,309,12468
AF,2006,m,0-14,193,12468
AF,2006,m,15-24,837,12468
AF,2006,m,25-34,791,12468
AF,2006,m,35-44,574,12468
AF,2006,m,45-54,572,12468
AF,2006,m,55-64,572,12468
AF,2006,m,65+,410,12468
AF,2007,f,0-14,475,13213
AF,2007,f,15-24,2224,13213
AF,2007,f,25-34,2357,13213
AF,2007,f,35-44,1708,13213
AF,2007,f,45-54,1143,13213
AF,2007,f,55-64,771,13213
AF,2007,f,65+,353,13213
AF,2007,m,0-14,186,13213
AF,2007,m,15-24,856,13213
AF,2007,m,25-34,840,13213
AF,2007,m,35-44,597,13213
AF,2007,m,45-54,566,13213
AF,2007,m,55-64,630,13213
AF,2007,m,65+,507,13213
AF,2008,f,0-14,428,13136
AF,2008,f,15-24,2094,13136
AF,2008,f,25-34,2449,13136
AF,2008,f,35-44,1614,13136
AF,2008,f,45-54,1149,13136
AF,2008,f,55-64,817,13136
AF,2008,f,65+,364,13136
AF,2008,m,0-14,187,13136
AF,2008,m,15-24,941,13136
AF,2008,m,25-34,773,13136
AF,2008,m,35-44,545,13136
AF,2008,m,45-54,570,13136
AF,2008,m,55-64,630,13136
AF,2008,m,65+,575,13136
AG,1996,f,0-14,0,2
AG,1996,f,15-24,0,2
AG,1996,f,25-34,0,2
AG,1996,f,35-44,1,2
AG,1996,f,45-54,0,2
AG,1996,f,55-64,0,2
AG,1996,f,65+,0,2
AG,1996,m,0-14,0,2
AG,1996,m,15-24,0,2
AG,1996,m,25-34,0,2
AG,1996,m,35-44,0,2
AG,1996,m,45-54,1,2
AG,1996,m,55-64,0,2
AG,1996,m,65+,0,2
AG,2000,f,0-14,1,3
AG,2000,f,15-24,1,3
AG,2000,f,25-34,1,3
AG,2000,f,35-44,0,3
AG,2000,f,45-54,0,3
AG,2000,f,55-64,0,3
AG,2000,f,65+,0,3
AG,2000,m,0-14,0,3
AG,2000,m,15-24,0,3
AG,2000,m,25-34,0,3
AG,2000,m,35-44,0,3
AG,2000,m,45-54,0,3
AG,2000,m,55-64,0,3
AG,2000,m,65+,1,3
AG,2001,f,0-14,0,1
AG,2001,f,15-24,1,1
AG,2001,f,25-34,0,1
AG,2001,f,35-44,0,1
AG,2001,f,45-54,0,1
AG,2001,f,55-64,0,1
AG,2001,f,65+,0,1
AG,2002,f,0-14,2,2
AG,2002,f,15-24,0,2
AG,2002,f,25-34,1,2
AG,2002,f,35-44,0,2
AG,2002,f,45-54,0,2
AG,2002,f,55-64,0,2
AG,2002,f,65+,0,2
AG,2002,m,0-14,0,2
AG,2002,m,15-24,0,2
AG,2002,m,25-34,1,2
AG,2002,m,35-44,0,2
AG,2002,m,45-54,0,2
AG,2002,m,55-64,0,2
AG,2002,m,65+,0,2
AG,2003,f,0-14,0,1
AG,2003,f,15-24,0,1
AG,2003,f,25-34,0,1
AG,2003,f,35-44,0,1
AG,2003,f,45-54,0,1
AG,2003,f,55-64,0,1
AG,2003,f,65+,0,1
AG,2003,m,0-14,0,1
AG,2003,m,15-24,0,1
AG,2003,m,25-34,1,1
AG,2003,m,35-44,0,1
AG,2003,m,45-54,0,1
AG,2003,m,55-64,0,1
AG,2003,m,65+,0,1
AG,2005,f,15-24,2,6
AG,2005,f,25-34,2,6
AG,2005,m,35-44,1,6
AG,2005,m,45-54,1,6
AG,2007,f,0-14,0,2
AG,2007,f,0-4,0,2
AG,2007,f,15-24,0,2
AG,2007,f,25-34,0,2
AG,2007,f,35-44,0,2
AG,2007,f,45-54,0,2
AG,2007,f,5-14,0,2
AG,2007,f,55-64,0,2
AG,2007,f,65+,0,2
AG,2007,m,0-14,0,2
AG,2007,m,0-4,0,2
AG,2007,m,15-24,0,2
AG,2007,m,25-34,0,2
AG,2007,m,35-44,0,2
AG,2007,m,45-54,1,2
AG,2007,m,5-14,0,2
AG,2007,m,55-64,1,2
AG,2007,m,65+,0,2
AG,2008,m,45-54,1,1
AI,2004,f,0-14,0,0
AI,2004,f,15-24,0,0
AI,2004,f,25-34,0,0
AI,2004,f,35-44,0,0
AI,2004,f,45-54,0,0
AI,2004,f,55-64,0,0
AI,2004,f,65+,0,0
AI,2004,m,0-14,0,0
AI,2004,m,15-24,0,0
AI,2004,m,25-34,0,0
AI,2004,m,35-44,0,0
AI,2004,m,45-54,0,0
AI,2004,m,55-64,0,0
AI,2004,m,65+,0,0
AL,1995,f,0-14,0,139
AL,1995,f,15-24,1,139
AL,1995,f,25-34,0,139
AL,1995,f,35-44,0,139
AL,1995,f,45-54,13,139
AL,1995,f,55-64,20,139
AL,1995,f,65+,16,139
AL,1995,m,0-14,0,139
AL,1995,m,15-24,0,139
AL,1995,m,25-34,0,139
AL,1995,m,35-44,0,139
AL,1995,m,45-54,19,139
AL,1995,m,55-64,40,139
AL,1995,m,65+,30,139
AL,1997,f,0-14,1,241
AL,1997,f,15-24,16,241
AL,1997,f,25-34,19,241
AL,1997,f,35-44,14,241
AL,1997,f,45-54,9,241
AL,1997,f,55-64,10,241
AL,1997,f,65+,8,241
AL,1997,m,0-14,0,241
AL,1997,m,15-24,23,241
AL,1997,m,25-34,43,241
AL,1997,m,35-44,33,241
AL,1997,m,45-54,25,241
AL,1997,m,55-64,21,241
AL,1997,m,65+,19,241
AL,1998,f,0-14,2,212
AL,1998,f,15-24,19,212
AL,1998,f,25-34,11,212
AL,1998,f,35-44,12,212
AL,1998,f,45-54,13,212
AL,1998,f,55-64,11,212
AL,1998,f,65+,13,212
AL,1998,m,0-14,1,212
AL,1998,m,15-24,17,212
AL,1998,m,25-34,21,212
AL,1998,m,35-44,24,212
AL,1998,m,45-54,18,212
AL,1998,m,55-64,26,212
AL,1998,m,65+,24,212
AL,1999,f,0-14,0,168
AL,1999,f,15-24,5,168
AL,1999,f,25-34,13,168
AL,1999,f,35-44,11,168
AL,1999,f,45-54,5,168
AL,1999,f,55-64,8,168
AL,1999,f,65+,16,168
AL,1999,m,0-14,0,168
AL,1999,m,15-24,13,168
AL,1999,m,25-34,23,168
AL,1999,m,35-44,25,168
AL,1999,m,45-54,19,168
AL,1999,m,55-64,15,168
AL,1999,m,65+,15,168
AL,2000,f,0-14,3,171
AL,2000,f,15-24,11,171
AL,2000,f,25-34,10,171
AL,2000,f,35-44,8,171
AL,2000,f,45-54,8,171
AL,2000,f,55-64,5,171
AL,2000,f,65+,11,171
AL,2000,m,0-14,2,171
AL,2000,m,15-24,19,171
AL,2000,m,25-34,21,171
AL,2000,m,35-44,14,171
AL,2000,m,45-54,24,171
AL,2000,m,55-64,19,171
AL,2000,m,65+,16,171
AL,2001,f,0-14,1,171
AL,2001,f,15-24,12,171
AL,2001,f,25-34,10,171
AL,2001,f,35-44,5,171
AL,2001,f,45-54,7,171
AL,2001,f,55-64,7,171
AL,2001,f,65+,9,171
AL,2001,m,0-14,3,171
AL,2001,m,15-24,13,171
AL,2001,m,25-34,18,171
AL,2001,m,35-44,17,171
AL,2001,m,45-54,19,171
AL,2001,m,55-64,20,171
AL,2001,m,65+,30,171
AL,2002,f,0-14,2,225
AL,2002,f,15-24,20,225
AL,2002,f,25-34,19,225
AL,2002,f,35-44,9,225
AL,2002,f,45-54,6,225
AL,2002,f,55-64,8,225
AL,2002,f,65+,17,225
AL,2002,m,0-14,0,225
AL,2002,m,15-24,21,225
AL,2002,m,25-34,27,225
AL,2002,m,35-44,29,225
AL,2002,m,45-54,19,225
AL,2002,m,55-64,23,225
AL,2002,m,65+,25,225
AL,2003,f,0-14,2,211
AL,2003,f,15-24,13,211
AL,2003,f,25-34,8,211
AL,2003,f,35-44,6,211
AL,2003,f,45-54,14,211
AL,2003,f,55-64,12,211
AL,2003,f,65+,20,211
AL,2003,m,0-14,0,211
AL,2003,m,15-24,28,211
AL,2003,m,25-34,19,211
AL,2003,m,35-44,32,211
AL,2003,m,45-54,16,211
AL,2003,m,55-64,22,211
AL,2003,m,65+,19,211
AL,2004,f,0-14,2,201
AL,2004,f,15-24,12,201
AL,2004,f,25-34,12,201
AL,2004,f,35-44,8,201
AL,2004,f,45-54,11,201
AL,2004,f,55-64,10,201
AL,2004,f,65+,22,201
AL,2004,m,0-14,5,201
AL,2004,m,15-24,12,201
AL,2004,m,25-34,19,201
AL,2004,m,35-44,21,201
AL,2004,m,45-54,24,201
AL,2004,m,55-64,23,201
AL,2004,m,65+,20,201
AL,2005,f,0-14,0,196
AL,2005,f,0-4,0,196
AL,2005,f,15-24,3,196
AL,2005,f,25-34,9,196
AL,2005,f,35-44,5,196
AL,2005,f,45-54,5,196
AL,2005,f,5-14,0,196
AL,2005,f,55-64,5,196
AL,2005,f,65+,18,196
AL,2005,f,unknown,0,196
AL,2005,m,0-14,0,196
AL,2005,m,0-4,0,196
AL,2005,m,15-24,26,196
AL,2005,m,25-34,21,196
AL,2005,m,35-44,16,196
AL,2005,m,45-54,31,196
AL,2005,m,5-14,0,196
AL,2005,m,55-64,20,196
AL,2005,m,65+,37,196
AL,2005,m,unknown,0,196
AL,2006,f,0-14,2,186
AL,2006,f,0-4,0,186
AL,2006,f,15-24,12,186
AL,2006,f,25-34,8,186
AL,2006,f,35-44,7,186
AL,2006,f,45-54,7,186
AL,2006,f,5-14,2,186
AL,2006,f,55-64,7,186
AL,2006,f,65+,13,186
AL,2006,f,unknown,0,186
AL,2006,m,0-14,5,186
AL,2006,m,0-4,1,186
AL,2006,m,15-24,24,186
AL,2006,m,25-34,19,186
AL,2006,m,35-44,22,186
AL,2006,m,45-54,21,186
AL,2006,m,5-14,4,186
AL,2006,m,55-64,19,186
AL,2006,m,65+,20,186
AL,2006,m,unknown,0,186
AL,2007,f,0-14,2,165
AL,2007,f,0-4,0,165
AL,2007,f,15-24,13,165
AL,2007,f,25-34,9,165
AL,2007,f,35-44,7,165
AL,2007,f,45-54,7,165
AL,2007,f,5-14,2,165
AL,2007,f,55-64,11,165
AL,2007,f,65+,9,165
AL,2007,f,unknown,0,165
AL,2007,m,0-14,0,165
AL,2007,m,0-4,0,165
AL,2007,m,15-24,19,165
AL,2007,m,25-34,13,165
AL,2007,m,35-44,16,165
AL,2007,m,45-54,24,165
AL,2007,m,5-14,0,165
AL,2007,m,55-64,16,165
AL,2007,m,65+,19,165
AL,2007,m,unknown,0,165
AL,2008,f,0-14,1,170
AL,2008,f,0-4,0,170
AL,2008,f,15-24,20,170
AL,2008,f,25-34,10,170
AL,2008,f,35-44,8,170
AL,2008,f,45-54,5,170
AL,2008,f,5-14,1,170
AL,2008,f,55-64,5,170
AL,2008,f,65+,10,170
AL,2008,m,0-14,1,170
AL,2008,m,0-4,1,170
AL,2008,m,15-24,23,170
AL,2008,m,25-34,26,170
AL,2008,m,35-44,13,170
AL,2008,m,45-54,19,170
AL,2008,m,5-14,0,170
AL,2008,m,55-64,13,170
AL,2008,m,65+,16,170
AM,1995,f,0-14,1,436
AM,1995,f,15-24,1,436
AM,1995,f,25-34,7,436
AM,1995,f,35-44,2,436
AM,1995,f,45-54,1,436
AM,1995,f,55-64,1,436
AM,1995,m,0-14,1,436
AM,1995,m,15-24,18,436
AM,1995,m,25-34,16,436
AM,1995,m,35-44,11,436
AM,1995,m,45-54,10,436
AM,1995,m,55-64,8,436
AM,1995,m,65+,1,436
AM,1996,f,0-14,0,327
AM,1996,f,15-24,9,327
AM,1996,f,25-34,11,327
AM,1996,f,35-44,9,327
AM,1996,f,45-54,8,327
AM,1996,f,55-64,4,327
AM,1996,f,65+,0,327
AM,1996,m,0-14,2,327
AM,1996,m,15-24,53,327
AM,1996,m,25-34,100,327
AM,1996,m,35-44,51,327
AM,1996,m,45-54,43,327
AM,1996,m,55-64,30,327
AM,1996,m,65+,7,327
AM,1997,f,0-14,3,400
AM,1997,f,15-24,16,400
AM,1997,f,25-34,22,400
AM,1997,f,35-44,17,400
AM,1997,f,45-54,7,400
AM,1997,f,55-64,14,400
AM,1997,f,65+,1,400
AM,1997,m,0-14,2,400
AM,1997,m,15-24,85,400
AM,1997,m,25-34,59,400
AM,1997,m,35-44,77,400
AM,1997,m,45-54,51,400
AM,1997,m,55-64,34,400
AM,1997,m,65+,12,400
AM,1998,f,0-14,1,475
AM,1998,f,15-24,21,475
AM,1998,f,25-34,20,475
AM,1998,f,35-44,11,475
AM,1998,f,45-54,10,475
AM,1998,f,55-64,5,475
AM,1998,f,65+,6,475
AM,1998,m,0-14,2,475
AM,1998,m,15-24,159,475
AM,1998,m,25-34,90,475
AM,1998,m,35-44,79,475
AM,1998,m,45-54,39,475
AM,1998,m,55-64,17,475
AM,1998,m,65+,15,475
AM,1999,f,0-14,6,576
AM,1999,f,15-24,22,576
AM,1999,f,25-34,15,576
AM,1999,f,35-44,20,576
AM,1999,f,45-54,6,576
AM,1999,f,55-64,9,576
AM,1999,f,65+,7,576
AM,1999,m,0-14,4,576
AM,1999,m,15-24,151,576
AM,1999,m,25-34,88,576
AM,1999,m,35-44,115,576
AM,1999,m,45-54,76,576
AM,1999,m,55-64,37,576
AM,1999,m,65+,20,576
AM,2000,f,0-14,1,621
AM,2000,f,15-24,24,621
AM,2000,f,25-34,27,621
AM,2000,f,35-44,24,621
AM,2000,f,45-54,8,621
AM,2000,f,55-64,8,621
AM,2000,f,65+,4,621
AM,2000,m,0-14,2,621
AM,2000,m,15-24,152,621
AM,2000,m,25-34,130,621
AM,2000,m,35-44,131,621
AM,2000,m,45-54,63,621
AM,2000,m,55-64,26,621
AM,2000,m,65+,21,621
AM,2001,f,0-14,1,572
AM,2001,f,15-24,40,572
AM,2001,f,25-34,31,572
AM,2001,f,35-44,22,572
AM,2001,f,45-54,10,572
AM,2001,f,55-64,7,572
AM,2001,f,65+,5,572
AM,2001,m,0-14,2,572
AM,2001,m,15-24,154,572
AM,2001,m,25-34,120,572
AM,2001,m,35-44,93,572
AM,2001,m,45-54,54,572
AM,2001,m,55-64,24,572
AM,2001,m,65+,9,572
AM,2002,f,0-14,2,511
AM,2002,f,15-24,16,511
AM,2002,f,25-34,24,511
AM,2002,f,35-44,32,511
AM,2002,f,45-54,36,511
AM,2002,f,55-64,4,511
AM,2002,f,65+,1,511
AM,2002,m,0-14,1,511
AM,2002,m,15-24,95,511
AM,2002,m,25-34,63,511
